Run,ColdFuelCostUsd,HybridFuelCostUsd,ColdOutageCostUsd,HybridOutageCostUsd,MeanAnnualNetBenefitUsd,NPV,PI,IRR,SimplePaybackYears,DiscountedPaybackYears
22,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
23,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
24,131471.99999979802,58725.43744491443,0.0,123.2,7662.336255488359,21896.67037500181,2.45977802500012,0.4971732658454848,2.0041001795911626,2.6131661639714774
25,131471.99999979802,58760.502468352905,0.0,31.68,7667.98175314451,21923.216445725175,2.461547763048345,0.49735368820773057,2.0050582021001997,2.614651462269188
26,131471.99999979802,58688.83637079948,0.0,214.72,7656.844362899853,21870.870219995668,2.4580580146663777,0.49700338170807995,2.0031011529066545,2.611617293647587
27,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
28,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
29,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
30,131471.99999979802,58735.424699234965,0.0,95.04,7664.153530056303,21905.227844992976,2.460348522999532,0.49723442302834864,2.0043729525166927,2.6135890654775795
31,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
32,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
33,131471.99999979802,58745.95628889458,0.0,77.44,7664.860371090343,21908.49322893108,2.460566215262072,0.4972425888362819,2.004660671733884,2.614035139405365
34,131471.99999979802,58748.18298887943,0.0,63.36,7666.045701091856,21914.11560089136,2.460941040059424,0.49729253220246605,2.0047215148060973,2.6141294692470263
35,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
36,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
37,131471.99999979802,58757.425002482385,0.0,38.72,7667.585499731562,21921.35904657405,2.46142393643827,0.49734247973471507,2.004974085525182,2.614521049669793
38,131471.99999979802,58747.795089356194,0.0,66.88,7665.732491044182,21912.62804948683,2.460841869965789,0.497278865244169,2.0047109154517493,2.614113036227112
39,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
40,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
41,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
42,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
43,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
44,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
45,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
46,131471.99999979802,58744.11951988886,0.0,70.4,7665.748047990914,21912.73701095906,2.4608491340639373,0.4972882241081087,2.0046104860038905,2.613957332486816
47,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
48,131471.99999979802,58748.63850236716,0.0,59.84,7666.352149743085,21915.570318536178,2.461038021235745,0.4973057249464863,2.0047339618531437,2.614148766891513
49,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
50,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
51,131471.99999979802,58736.17316590211,0.0,91.52,7664.43068338959,21906.540302760382,2.4604360201840256,0.4972455680331169,2.0043933976660195,2.6136207632145383
52,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
53,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
54,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
55,131471.99999979802,58759.05063596456,0.0,35.2,7667.774936383345,21922.245546706086,2.4614830364470723,0.4973474756195128,2.005018518203556,2.614589937176014
56,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
57,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
58,131471.99999979802,58697.690974625155,0.0,193.6,7658.0709025172855,21876.625876450154,2.458441725096677,0.4970397435061562,2.003342749308814,2.6119918597162077
59,131471.99999979802,58760.61312277365,0.0,28.16,7668.322687702437,21924.83862906773,2.461655908604515,0.49736929111527334,2.005061226754349,2.6146561516304683
60,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
61,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
62,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
63,131471.99999979802,58691.97272039125,0.0,207.68,7657.234727940675,21872.69902484724,2.458179934989816,0.4970142077992892,2.00318672111297,2.6117499568261446
64,131471.99999979802,58763.75631371764,0.0,21.12,7668.712368608038,21926.664111716313,2.4617776074477544,0.49738003727292557,2.005147147239568,2.6147893609749566
65,131471.99999979802,58762.92787580866,0.0,28.16,7668.091212398936,21923.71457066474,2.4615809713776495,0.49735308372899517,2.005124500825777,2.614754250443069
66,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
67,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
68,131471.99999979802,58715.63569146159,0.0,161.92,7659.4444308336415,21882.99507119819,2.4588663380798796,0.4970615866824933,2.003832544278397,2.6127512277140226
69,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
70,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
71,131471.99999979802,58740.83738522729,0.0,77.44,7665.372261457071,21910.979000239844,2.4607319333493227,0.4972784429510562,2.004520814962812,2.613818308358039
72,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
73,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
74,131471.99999979802,58762.36642486371,0.0,28.16,7668.14735749343,21923.9872147192,2.461599147647947,0.497357014888052,2.0051091531302614,2.614730455693146
75,131471.99999979802,58737.01720806229,0.0,91.52,7664.346279173573,21906.130430662462,2.460408695377498,0.4972396555586601,2.0044164540534064,2.613656509361016
76,131471.99999979802,58759.31134026993,0.0,38.72,7667.396865952808,21920.44302926728,2.4613628686178184,0.49732927100629454,2.00502564409294,2.6146009850076384
77,131471.99999979802,58749.868418524595,0.0,63.36,7665.877158127341,21913.29714582223,2.460886476388149,0.4972807282092212,2.0047675704544115,2.6142008729723
78,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
79,131471.99999979802,58752.37029701477,0.0,52.8,7666.682970278323,21917.10997158261,2.4611406647721736,0.4973123545982808,2.0048359400380416,2.6143068717617055
